name,price,km,owner,year,fuel,location
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Mercedes-Benz C-Class C 220d Progressive [2018-2019],"49,00,000","2,266 KMs",N/A,2020,Diesel,Bangalore
Tata Nexon XZ Plus Diesel,"10,45,000","38,606 KMs",1 Owner,2018,Diesel,Bangalore
Hyundai Sonata 2.4 GDi AT,"9,50,000","62,000 KMs",1 Owner,2012,Petrol,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Mahindra TUV300 T6 Plus,"5,95,000","1,80,585 KMs",1 Owner,2015,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Mahindra XUV500 W11 AT,"18,15,000","22,600 KMs",1 Owner,2019,Diesel,Bangalore
Audi Q5 3.0 TDI quattro Premium Plus,"34,00,000","43,500 KMs",1 Owner,2016,Diesel,Pune
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Mahindra TUV300 T6 Plus,"5,95,000","1,80,585 KMs",1 Owner,2015,Diesel,Bangalore
Maruti Suzuki Celerio VXi AMT,"4,79,000","21,145 KMs",2 Owners,2015,Petrol,Bangalore
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Mercedes-Benz E-Class 270 CDI,"10,50,000","99,000 KMs",1 Owner,2004,Diesel,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"5,45,000","42,000 KMs",1 Owner,2015,Petrol,Bangalore
Mercedes-Benz C-Class C 220d Progressive [2018-2019],"49,00,000","2,266 KMs",N/A,2020,Diesel,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Nissan Terrano XL (D),"6,95,000","55,379 KMs",1 Owner,2014,Diesel,Bangalore
Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],"6,00,000","20,088 KMs",1 Owner,2015,Petrol,Bangalore
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Mahindra TUV300 T6 Plus,"5,95,000","1,80,585 KMs",1 Owner,2015,Diesel,Bangalore
Hyundai Elite i20 Asta 1.2 (O) [2016],"6,75,000","27,662 KMs",2 Owners,2016,Petrol,Bangalore
Skoda Superb L&K TSI AT,"22,85,000","43,024 KMs",1 Owner,2016,Petrol,Bangalore
Tata Nexon XZ Plus Diesel,"10,45,000","38,606 KMs",1 Owner,2018,Diesel,Bangalore
Hyundai Sonata 2.4 GDi AT,"9,50,000","62,000 KMs",1 Owner,2012,Petrol,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Audi Q5 3.0 TDI quattro Premium Plus,"34,00,000","43,500 KMs",1 Owner,2016,Diesel,Pune
Hyundai Verna VGT CRDi SX,"3,60,000","71,000 KMs",2 Owners,2008,Diesel,Bangalore
Volkswagen Vento Trendline Petrol,"4,25,000","56,527 KMs",1 Owner,2012,Petrol,Bangalore
Toyota Innova Aero Ltd 7 STR BS III,"7,10,000","1,47,261 KMs",2 Owners,2009,Diesel,Bangalore
BMW X6 xDrive40i M Sport,"1,32,00,000","5,003 KMs",N/A,2019,Petrol,Pune
Mercedes-Benz C-Class C 220 CDI Style,"32,50,000","47,000 KMs",1 Owner,2017,Diesel,Bangalore
Mahindra TUV300 T6 Plus,"5,95,000","1,80,585 KMs",1 Owner,2015,Diesel,Bangalore
Hyundai i20 Active 1.2 SX,"8,50,000","12,434 KMs",1 Owner,2018,Petrol,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Mahindra XUV500 W11(O) [2018-2020],"18,45,000","46,081 KMs",1 Owner,2018,Diesel,Bangalore
Maruti Suzuki Celerio VXi AMT,"4,79,000","21,145 KMs",2 Owners,2015,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"4,10,000","85,022 KMs",2 Owners,2013,Petrol,Bangalore
BMW X3 M,"1,05,00,000","6,639 KMs",N/A,2019,Petrol,Pune
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Mercedes-Benz E-Class 270 CDI,"10,50,000","99,000 KMs",1 Owner,2004,Diesel,Bangalore
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Volkswagen Vento Trendline Petrol,"4,25,000","56,527 KMs",1 Owner,2012,Petrol,Bangalore
Audi Q5 3.0 TDI quattro Premium Plus,"34,00,000","43,500 KMs",1 Owner,2016,Diesel,Pune
Renault Duster 110 PS RXZ 4X2 AMT Diesel,"9,99,999","19,899 KMs",1 Owner,2017,Diesel,Bangalore
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Hyundai i20 Magna 1.2,"3,70,000","80,000 KMs",2 Owners,2010,Petrol,Bangalore
Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],"6,00,000","20,088 KMs",1 Owner,2015,Petrol,Bangalore
Mercedes-Benz C-Class 200 CGI Avantgarde,"8,50,000","85,000 KMs",1 Owner,2010,Petrol,Ahmedabad
Hyundai Verna VGT CRDi SX,"3,60,000","71,000 KMs",2 Owners,2008,Diesel,Bangalore
Skoda Superb L&K TSI AT,"22,85,000","43,024 KMs",1 Owner,2016,Petrol,Bangalore
Maruti Suzuki Ritz VXI BS-IV,"3,50,000","48,650 KMs",1 Owner,2010,Petrol,Bangalore
Hyundai Sonata 2.4 GDi AT,"9,50,000","62,000 KMs",1 Owner,2012,Petrol,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Mahindra XUV500 W11(O) [2018-2020],"18,45,000","46,081 KMs",1 Owner,2018,Diesel,Bangalore
Mahindra XUV500 W11(O) [2018-2020],"18,45,000","46,081 KMs",1 Owner,2018,Diesel,Bangalore
Hyundai Sonata 2.4 GDi AT,"9,50,000","62,000 KMs",1 Owner,2012,Petrol,Bangalore
Honda Civic 1.8V MT,"3,60,000","87,000 KMs",3 Owners,2008,Petrol,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Nissan Terrano XL (D),"6,95,000","55,379 KMs",1 Owner,2014,Diesel,Bangalore
Mercedes-Benz C-Class C 220 CDI Style,"32,50,000","47,000 KMs",1 Owner,2017,Diesel,Bangalore
Mercedes-Benz SLC 43 AMG,"75,00,000","6,100 KMs",2 Owners,2018,Petrol,Pune
Mercedes-Benz S-Class Maybach S 600,"1,30,00,000","40,900 KMs",2 Owners,2017,Petrol,Pune
Mahindra TUV300 T6 Plus,"5,95,000","1,80,585 KMs",1 Owner,2015,Diesel,Bangalore
Maruti Suzuki Swift DZire VDI,"5,30,138","55,114 KMs",1 Owner,2013,Diesel,Bangalore
Hyundai Elite i20 Asta 1.2 (O) [2016],"6,75,000","27,662 KMs",2 Owners,2016,Petrol,Bangalore
Audi Q5 3.0 TDI quattro Premium Plus,"34,00,000","43,500 KMs",1 Owner,2016,Diesel,Pune
Mercedes-Benz C-Class C 220d Progressive [2018-2019],"49,00,000","2,266 KMs",N/A,2020,Diesel,Bangalore
Tata Nexon XZ Plus Diesel,"10,45,000","38,606 KMs",1 Owner,2018,Diesel,Bangalore
Toyota Etios VX,"4,75,000","53,326 KMs",2 Owners,2013,Petrol,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
BMW X6 xDrive40i M Sport,"1,32,00,000","5,003 KMs",N/A,2019,Petrol,Pune
Maruti Suzuki Swift DZire VDI,"5,30,138","55,114 KMs",1 Owner,2013,Diesel,Bangalore
Maruti Suzuki Celerio VXi AMT,"4,79,000","21,145 KMs",2 Owners,2015,Petrol,Bangalore
Mahindra XUV500 W11(O) [2018-2020],"18,45,000","46,081 KMs",1 Owner,2018,Diesel,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Skoda Octavia Elegance 1.8 TSI AT,"16,95,000","29,000 KMs",1 Owner,2015,Petrol,Bangalore
Land Rover Range Rover 4.4 V8 SE Diesel,"43,50,000","1,02,000 KMs",2 Owners,2011,Diesel,Bangalore
Chevrolet Captiva LT,"5,50,000","1,45,000 KMs",1 Owner,2009,Diesel,Bangalore
BMW X6 xDrive40i M Sport,"1,32,00,000","5,003 KMs",N/A,2019,Petrol,Pune
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Chevrolet Captiva LT,"5,50,000","1,45,000 KMs",1 Owner,2009,Diesel,Bangalore
Hyundai Elite i20 Asta 1.2 (O) [2016],"8,10,000","27,972 KMs",1 Owner,2017,Petrol,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Audi Q3 35 TDI Premium + Sunroof,"24,50,000","65,000 KMs",1 Owner,2016,Diesel,Bangalore
Audi Q3 35 TDI Premium + Sunroof,"24,50,000","65,000 KMs",1 Owner,2016,Diesel,Bangalore
Toyota Innova 2.5 GX BS IV 7 STR,"12,90,000","98,000 KMs",2 Owners,2016,Diesel,Bangalore
Mercedes-Benz C-Class 200 CGI Avantgarde,"8,50,000","85,000 KMs",1 Owner,2010,Petrol,Ahmedabad
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Hyundai Elite i20 Asta 1.2 (O) [2016],"8,10,000","27,972 KMs",1 Owner,2017,Petrol,Bangalore
BMW X3 M,"1,05,00,000","6,639 KMs",N/A,2019,Petrol,Pune
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Hyundai Elite i20 Magna 1.4 CRDI [2016-2017],"7,10,000","44,953 KMs",1 Owner,2016,Diesel,Bangalore
BMW 5 Series 520d Sedan,"24,50,000","67,396 KMs",1 Owner,2013,Diesel,Bangalore
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
BMW X3 M,"1,05,00,000","6,639 KMs",N/A,2019,Petrol,Pune
Mercedes-Benz C-Class C 220 CDI Style,"32,50,000","47,000 KMs",1 Owner,2017,Diesel,Bangalore
Maruti Suzuki Celerio VXi AMT,"4,79,000","21,145 KMs",2 Owners,2015,Petrol,Bangalore
Tata Nexon XZ Plus Diesel,"10,45,000","38,606 KMs",1 Owner,2018,Diesel,Bangalore
Audi Q3 35 TDI Premium + Sunroof,"24,50,000","65,000 KMs",1 Owner,2016,Diesel,Bangalore
BMW 5 Series 520d Luxury Line,"17,90,000","89,000 KMs",2 Owners,2013,Diesel,Ahmedabad
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,90,000","7,775 KMs",1 Owner,2020,Petrol,Bangalore
Mercedes-Benz C-Class 200 CGI Avantgarde,"8,50,000","85,000 KMs",1 Owner,2010,Petrol,Ahmedabad
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,90,000","7,775 KMs",1 Owner,2020,Petrol,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"4,10,000","85,022 KMs",2 Owners,2013,Petrol,Bangalore
Toyota Fortuner 3.0 MT,"12,40,000","1,84,435 KMs",1 Owner,2011,Diesel,Bangalore
Tata Nexon XZ Plus Diesel,"10,45,000","38,606 KMs",1 Owner,2018,Diesel,Bangalore
Maruti Suzuki Swift DZire VXI,"5,46,000","59,183 KMs",1 Owner,2014,Petrol,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
BMW X3 M,"1,05,00,000","6,639 KMs",N/A,2019,Petrol,Pune
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Maruti Suzuki Swift DZire VDI,"5,30,138","55,114 KMs",1 Owner,2013,Diesel,Bangalore
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Mercedes-Benz C-Class C 220d Progressive [2018-2019],"49,00,000","2,266 KMs",N/A,2020,Diesel,Bangalore
Maruti Suzuki Swift DZire VDI,"5,30,138","55,114 KMs",1 Owner,2013,Diesel,Bangalore
Maruti Suzuki Ritz VXI BS-IV,"3,50,000","48,650 KMs",1 Owner,2010,Petrol,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Mercedes-Benz E-Class 270 CDI,"10,50,000","99,000 KMs",1 Owner,2004,Diesel,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,90,000","7,775 KMs",1 Owner,2020,Petrol,Bangalore
Honda City 1.5 V MT,"4,35,000","74,000 KMs",1 Owner,2010,Petrol,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Honda City V Petrol [2017-2019],"8,45,000","25,715 KMs",1 Owner,2017,Petrol,Bangalore
Honda City V Petrol [2017-2019],"8,45,000","25,715 KMs",1 Owner,2017,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Ford EcoSport Titanium 1.5L TDCi,"8,75,000","78,192 KMs",1 Owner,2017,Diesel,Bangalore
Honda City 1.5 V MT,"4,35,000","74,000 KMs",1 Owner,2010,Petrol,Bangalore
Skoda Kodiaq Style 2.0 TDI 4x4 AT,"33,95,000","25,980 KMs",1 Owner,2019,Diesel,Bangalore
Skoda Superb L&K TSI AT,"22,85,000","43,024 KMs",1 Owner,2016,Petrol,Bangalore
Mercedes-Benz C-Class 200 CGI Avantgarde,"8,50,000","85,000 KMs",1 Owner,2010,Petrol,Ahmedabad
Hyundai i20 Magna 1.2,"3,70,000","80,000 KMs",2 Owners,2010,Petrol,Bangalore
Mahindra TUV300 T6 Plus,"5,95,000","1,80,585 KMs",1 Owner,2015,Diesel,Bangalore
Mercedes-Benz GLE 350 d,"55,50,000","64,448 KMs",1 Owner,2017,Diesel,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Renault Duster 110 PS RXZ 4X2 AMT Diesel,"9,99,999","19,899 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova 2.5 G4 7 STR,"5,25,000","1,19,174 KMs",2 Owners,2006,Diesel,Bangalore
Hyundai i20 Active 1.2 SX,"8,50,000","12,434 KMs",1 Owner,2018,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Hyundai Creta SX 1.6 AT Petrol,"15,75,000","11,227 KMs",1 Owner,2019,Petrol,Bangalore
Hyundai Creta SX 1.6 AT Petrol,"15,75,000","11,227 KMs",1 Owner,2019,Petrol,Bangalore
Honda City V Petrol [2017-2019],"8,45,000","25,715 KMs",1 Owner,2017,Petrol,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Toyota Innova 2.5 GX BS IV 7 STR,"12,90,000","98,000 KMs",2 Owners,2016,Diesel,Bangalore
Toyota Innova 2.5 GX BS IV 7 STR,"12,90,000","98,000 KMs",2 Owners,2016,Diesel,Bangalore
Honda Amaze 1.5 VX i-DTEC,"4,50,000","99,141 KMs",3 Owners,2013,Diesel,Bangalore
BMW 5 Series 520d Luxury Line,"17,90,000","89,000 KMs",2 Owners,2013,Diesel,Ahmedabad
BMW X1 sDrive20d xLine,"39,75,000","10,891 KMs",1 Owner,2020,Diesel,Bangalore
Mercedes-Benz E-Class 270 CDI,"10,50,000","99,000 KMs",1 Owner,2004,Diesel,Bangalore
Skoda Rapid Ambition 1.5 TDI AT,"7,85,000","59,239 KMs",1 Owner,2016,Diesel,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Honda City V Petrol [2017-2019],"8,45,000","25,715 KMs",1 Owner,2017,Petrol,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Volkswagen Vento Highline Petrol,"7,60,000","24,091 KMs",1 Owner,2016,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Honda City V Petrol [2017-2019],"8,45,000","25,715 KMs",1 Owner,2017,Petrol,Bangalore
Honda City V Petrol [2017-2019],"8,45,000","25,715 KMs",1 Owner,2017,Petrol,Bangalore
Honda City V Petrol [2017-2019],"8,45,000","25,715 KMs",1 Owner,2017,Petrol,Bangalore
Honda City V Petrol [2017-2019],"8,45,000","25,715 KMs",1 Owner,2017,Petrol,Bangalore
Maruti Suzuki Ertiga ZDi,"8,35,000","49,921 KMs",1 Owner,2015,Diesel,Bangalore
Maruti Suzuki Dzire VXi,"6,78,000","23,562 KMs",2 Owners,2018,Petrol,Bangalore
Hyundai Creta SX 1.6 AT Petrol,"15,75,000","11,227 KMs",1 Owner,2019,Petrol,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
BMW 7 Series 730Ld Sedan,"17,50,000","35,000 KMs",1 Owner,2009,Diesel,Ahmedabad
Audi Q5 3.0 TDI quattro Premium Plus,"34,00,000","43,500 KMs",1 Owner,2016,Diesel,Pune
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"4,10,000","85,022 KMs",2 Owners,2013,Petrol,Bangalore
Mahindra XUV500 W11 AT,"18,15,000","22,600 KMs",1 Owner,2019,Diesel,Bangalore
Volkswagen Vento Trendline Petrol,"4,25,000","56,527 KMs",1 Owner,2012,Petrol,Bangalore
Renault Duster 110 PS RXZ 4X2 AMT Diesel,"9,99,999","19,899 KMs",1 Owner,2017,Diesel,Bangalore
Audi Q5 3.0 TDI quattro Premium Plus,"34,00,000","43,500 KMs",1 Owner,2016,Diesel,Pune
Skoda Kodiaq Style 2.0 TDI 4x4 AT,"33,95,000","25,980 KMs",1 Owner,2019,Diesel,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"6,15,000","17,674 KMs",1 Owner,2018,Petrol,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
Hyundai Creta SX 1.6 AT Petrol,"15,75,000","11,227 KMs",1 Owner,2019,Petrol,Bangalore
Skoda Rapid Ambition 1.6 TDI CR MT,"4,75,000","62,232 KMs",1 Owner,2012,Diesel,Bangalore
